year,africa,north_africa,algeria,libya,morocco,tunisia,sub_saharan,angola,benin,botswana,burkina_faso,burundi,cameroon,cape_verde,central_african_rep,chad,republic_of_congo,dem_republic_of_congo,cote_divoire,djibouti,equatorial_guinea,eritrea,ethiopia,gabon,gambia,ghana,guinea,guinea_bissau,kenya,lesotho,liberia,madagascar,malawi,mali,mauritania,mauritius,mozambique,namibia,niger,nigeria,rwanda,senegal,seychelles,sierra_leone,somalia,south_africa,south_sudan,sudan,eswatini,tanzania,togo,uganda,zambia,zimbabwe,americas,central_america_and_the_caribbean,belize,costa_rica,cuba,dominican_republic,el_salvador,guatemala,haiti,honduras,jamaica,mexico,nicaragua,panama,trinidad_and_tobago,north_america,canada,usa,south_america,argentina,bolivia,brazil,chile,colombia,ecuador,guyana,paraguay,peru,uruguay,venezuela,asia_and_oceania,central_asia,kazakhstan,kyrgyzstan,tajikistan,turkmenistan,uzbekistan,east_asia,china,japan,north_korea,south_korea,mongolia,taiwan,south_asia,afghanistan,bangladesh,india,nepal,pakistan,sri_lanka,south_east_asia,brunei,cambodia,indonesia,laos,malaysia,myanmar,philippines,singapore,thailand,timor_leste,viet_nam,oceania,australia,fiji,new_zealand,papua_new_guinea,europe,central_europe,albania,bosnia_herzegovina,bulgaria,croatia,czechia,czechoslovakia,estonia,german_dr,hungary,kosovo,latvia,lithuania,montenegro,north_macedonia,poland,romania,serbia,slovakia,slovenia,yugoslavia ,eastern_europe,armenia,azerbaijan,belarus,georgia,moldova,russia,ukraine,ussr,western_europe,austria,belgium,cyprus,denmark,finland,france,germany,greece,iceland,ireland,italy,luxembourg,malta,netherlands,norway,portugal,spain,sweden,switzerland,uk,middle_east,bahrain,egypt,iran,iraq,israel,jordan,kuwait,lebanon,oman,qatar,saudi_arabia,syria,turkey,uae,yemen,north_yemen
1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,360.0879258,,,,,,144966.3623,,4316.548683,,,,,,,,798.3358379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2155.045305,,1109.132131,,14115.79346,,825.0378243,0,,5855.517116,26.6344209,,3689.861241,1019.55728,801.9987481,2892.382344,,,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,400.6053822,,,,,3824.962367,155796.6592,,3421.638566,,,,,,,,866.958746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2952.609886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2173.874979,,1042.01741,,15262.5008,,924.8260596,0,,6912.527305,38.91939921,,4485.438265,895.0671593,862.7822193,2711.508984,,,28272.40508,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.9401756,,,,,,,,,,,,0,,,,,,19.62470527,,405.9686048,,,,,7751.071932,333345.7941,,2319.336958,,,,,,,,999.5532043,,,,,,,,,,,,,,,,,,,,,,,7.558612787,,,,,,,158.5395508,,,,,,,4240.967021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3217.087911,,1247.406894,,20442.23915,,1089.936972,0,,7830.807325,55.84496157,,4714.16148,1238.072423,896.2112359,2566.029061,,,33288.56237,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.7966177,,,,,,,,,,,,0,,,,,,19.85916273,,375.46614,,,,,12457.7898,469570.7526,,2362.074857,,,,,,,,952.4576361,,,,,,,,,,,,7929.952224,,,,,,,,,,,9.86441632,,,,,,,245.4217676,,,,,,,5416.407165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4754.220179,,1710.109873,,25967.86967,,1052.630591,0,,8764.392905,90.68871269,,5572.626215,1651.62516,978.8812805,3252.324214,,,42583.35946,,,,,,383.0587441,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.4384943,,,,,,,,,,,,0,,,80.83480275,,,22.1377787,,425.8350653,,,,,14295.35488,483462.1007,,3079.963151,54.30971801,1755.972891,217.8150938,,166.3661131,,,983.6913669,,,,,,,,,,,,8237.391013,,199.3236266,,,,,,,,,13.41530073,,,,,,,349.5475448,,,,,,,5451.843085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4733.072079,,2228.503046,,28922.30658,17977.16713,1006.403785,0,,7961.773344,101.7208306,,5914.667465,2078.52858,1132.931364,3188.940984,,,47310.39842,,,,,,364.0617566,,,,,,,,1194.790818,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.1983727,,,,,,,,,,,,0,,,,,,20.44355274,,536.964601,,,,,13299.17229,417139.2032,,2934.610171,,,119.3252439,,,,,1005.123002,,,,,,,,,,,,9280.255172,,500.0089908,,,,,,,,,21.36052459,,,,,,,438.0686226,,,,,,,4889.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4882.754441,,2218.476035,,24653.82764,18200.9236,1083.745484,0,,8732.667747,116.6277344,,6769.025164,2128.03554,1191.025956,3204.766403,,,44915.49934,,,,,,445.4333044,,,,,,,,1208.398677,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.3884182,,,,,,,,,,,,0,,,,110.4712127,,22.55867807,,508.4007911,,,,,13169.443,394859.4261,,2963.236633,37.06542071,,167.8469666,,,,,1122.65185,,4.927525274,,,,,,,,,,9640.615072,,554.2394348,,,,,,,,,19.58261833,,,,,,,385.364923,,,,,,,4965.741858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4044.194156,,2186.928626,,22974.54447,21030.61984,1102.324671,0,,8602.789397,126.8699447,,7128.291834,1761.436876,1274.190008,3467.29465,,,42766.012,,,,,,620.0364564,,,,,,,,1221.968849,,,
1956,,,,,110.8112544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.8016543,,110.3330043,,,,,,,,,,0,,,82.21950575,117.4361577,,24.84266429,,519.1308858,,,,,13440.146,400025.7537,,2773.724361,27.42861411,,213.1545319,,,,,1270.46169,,5.955282771,,,,,,,,,,9010.688519,,794.4045749,,,,,,2745.357985,,618.8207951,23.41531857,,,,,,,386.2527754,,,,,,,4812.502999,,1115.183294,,,,,,,,,2682.844801,,,,,,,,,,,,,,,,,,,,,,,,,,3932.244372,,2098.342393,,29364.28039,20029.11277,1423.610592,0,,8856.175868,81.15631573,,7634.601969,1720.864634,1264.901657,3679.311043,,,41974.8752,,,,,,1195.550123,,,,,,,,1131.378113,,,
1957,,,,,161.539491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.3066486,,159.324293,,,,,,,,,,0,,,95.0095533,126.7924951,,38.60459371,,563.7339951,,,,,12835.41242,411440.0803,,4922.79991,31.48462135,2648.764447,214.5464869,,262.9842567,,,1235.249649,,8.302475274,,,,,,,,,,8623.302023,,682.8629186,,,,,,3283.248523,,513.5887754,32.01183595,,,,,,260.5343226,396.0939369,,,535.0219901,,,,4619.478776,,1075.510698,,,,,,,,,2800.597992,,,,,,,,,,,,,,,,,,,,,,,,,1263.929202,4100.173836,,2208.115474,,31433.014,24375.99393,1483.172522,0,,9136.759297,86.19165083,,7160.79239,1817.060548,1299.134007,3850.098151,,3816.306521,40532.90059,,,,,216.8866623,1056.316917,,,,,,,,1051.163163,,,
1958,,,,,215.0097767,,,,,,,,,,,,,,,,,,,,,42.55902742,,,,,,,,,,,,,,,,,,,,297.7893425,,150.5981141,,,,,,,,,,0,,225.9984054,88.96196852,124.1086667,,41.75319662,,524.0881079,,,,,11955.37382,408999.2477,,2650.904121,,2650.904223,236.5439754,448.5523611,252.424867,,,1243.31368,,8.720365676,,,,,,,,,,8808.498128,,806.1100431,,,,,,3288.82248,,533.1758732,45.11893926,,,,,,273.9410709,435.6613874,516.9934147,,474.4858798,,,,4577.031695,,1062.584001,,,,,,,,,2677.304915,,,,,,,,,,,,,,,,,,,,,,,,,1438.404984,4038.435184,,2140.112802,643.6549274,28953.78129,18260.11509,1460.572102,0,257.9268329,9407.338894,83.66607866,,6290.519496,1691.198545,1328.406372,3377.967364,,4066.450585,39470.21676,,,,,233.4100091,992.8554866,,,,,,,,1021.034295,,,
